year,state,county,candidate,party,votes,total_county_votes
2000,Arkansas,Lonoke,Al Gore,democrat,6851,17943
2000,Arkansas,Lonoke,George W. Bush,republican,10606,17943
2000,Arkansas,Lonoke,Ralph Nader,green,237,17943
2000,Arkansas,Lonoke,Other,NA,249,17943
2000,Arkansas,Madison,Al Gore,democrat,2055,5628
2000,Arkansas,Madison,George W. Bush,republican,3387,5628
2000,Arkansas,Madison,Ralph Nader,green,88,5628
2000,Arkansas,Madison,Other,NA,98,5628
2000,Arkansas,Marion,Al Gore,democrat,2233,6015
2000,Arkansas,Marion,George W. Bush,republican,3402,6015
2000,Arkansas,Marion,Ralph Nader,green,220,6015
2000,Arkansas,Marion,Other,NA,160,6015
2000,Arkansas,Miller,Al Gore,democrat,6278,13745
2000,Arkansas,Miller,George W. Bush,republican,7276,13745
2000,Arkansas,Miller,Ralph Nader,green,100,13745
2000,Arkansas,Miller,Other,NA,91,13745
2000,Arkansas,Mississippi,Al Gore,democrat,7107,12586
2000,Arkansas,Mississippi,George W. Bush,republican,5199,12586
2000,Arkansas,Mississippi,Ralph Nader,green,110,12586
2000,Arkansas,Mississippi,Other,NA,170,12586
2000,Arkansas,Monroe,Al Gore,democrat,1910,3293
2000,Arkansas,Monroe,George W. Bush,republican,1329,3293
2000,Arkansas,Monroe,Ralph Nader,green,29,3293
2000,Arkansas,Monroe,Other,NA,25,3293
2000,Arkansas,Montgomery,Al Gore,democrat,1438,3739
2000,Arkansas,Montgomery,George W. Bush,republican,2128,3739
2000,Arkansas,Montgomery,Ralph Nader,green,101,3739
2000,Arkansas,Montgomery,Other,NA,72,3739
2000,Arkansas,Nevada,Al Gore,democrat,1867,3738
2000,Arkansas,Nevada,George W. Bush,republican,1796,3738
2000,Arkansas,Nevada,Ralph Nader,green,42,3738
2000,Arkansas,Nevada,Other,NA,33,3738
2000,Arkansas,Newton,Al Gore,democrat,1205,3927
2000,Arkansas,Newton,George W. Bush,republican,2529,3927
2000,Arkansas,Newton,Ralph Nader,green,112,3927
2000,Arkansas,Newton,Other,NA,81,3927
2000,Arkansas,Ouachita,Al Gore,democrat,5464,10395
2000,Arkansas,Ouachita,George W. Bush,republican,4739,10395
2000,Arkansas,Ouachita,Ralph Nader,green,100,10395
2000,Arkansas,Ouachita,Other,NA,92,10395
2000,Arkansas,Perry,Al Gore,democrat,1648,4007
2000,Arkansas,Perry,George W. Bush,republican,2114,4007
2000,Arkansas,Perry,Ralph Nader,green,61,4007
2000,Arkansas,Perry,Other,NA,184,4007
2000,Arkansas,Phillips,Al Gore,democrat,6018,9313
2000,Arkansas,Phillips,George W. Bush,republican,3154,9313
2000,Arkansas,Phillips,Ralph Nader,green,75,9313
2000,Arkansas,Phillips,Other,NA,66,9313
2000,Arkansas,Pike,Al Gore,democrat,1604,3971
2000,Arkansas,Pike,George W. Bush,republican,2275,3971
2000,Arkansas,Pike,Ralph Nader,green,45,3971
2000,Arkansas,Pike,Other,NA,47,3971
2000,Arkansas,Poinsett,Al Gore,democrat,4102,7235
2000,Arkansas,Poinsett,George W. Bush,republican,2988,7235
2000,Arkansas,Poinsett,Ralph Nader,green,87,7235
2000,Arkansas,Poinsett,Other,NA,58,7235
2000,Arkansas,Polk,Al Gore,democrat,2315,7193
2000,Arkansas,Polk,George W. Bush,republican,4600,7193
2000,Arkansas,Polk,Ralph Nader,green,130,7193
2000,Arkansas,Polk,Other,NA,148,7193
2000,Arkansas,Pope,Al Gore,democrat,6669,18422
2000,Arkansas,Pope,George W. Bush,republican,11244,18422
2000,Arkansas,Pope,Ralph Nader,green,259,18422
2000,Arkansas,Pope,Other,NA,250,18422
2000,Arkansas,Prairie,Al Gore,democrat,1563,3507
2000,Arkansas,Prairie,George W. Bush,republican,1862,3507
2000,Arkansas,Prairie,Ralph Nader,green,29,3507
2000,Arkansas,Prairie,Other,NA,53,3507
2000,Arkansas,Pulaski,Al Gore,democrat,68320,127151
2000,Arkansas,Pulaski,George W. Bush,republican,55866,127151
2000,Arkansas,Pulaski,Ralph Nader,green,1756,127151
2000,Arkansas,Pulaski,Other,NA,1209,127151
2000,Arkansas,Randolph,Al Gore,democrat,3019,5877
2000,Arkansas,Randolph,George W. Bush,republican,2673,5877
2000,Arkansas,Randolph,Ralph Nader,green,84,5877
2000,Arkansas,Randolph,Other,NA,101,5877
2000,Arkansas,St. Francis,Al Gore,democrat,4986,8496
2000,Arkansas,St. Francis,George W. Bush,republican,3414,8496
2000,Arkansas,St. Francis,Ralph Nader,green,42,8496
2000,Arkansas,St. Francis,Other,NA,54,8496
2000,Arkansas,Saline,Al Gore,democrat,12700,32391
2000,Arkansas,Saline,George W. Bush,republican,18617,32391
2000,Arkansas,Saline,Ralph Nader,green,533,32391
2000,Arkansas,Saline,Other,NA,541,32391
2000,Arkansas,Scott,Al Gore,democrat,1444,3981
2000,Arkansas,Scott,George W. Bush,republican,2399,3981
2000,Arkansas,Scott,Ralph Nader,green,48,3981
2000,Arkansas,Scott,Other,NA,90,3981
2000,Arkansas,Searcy,Al Gore,democrat,1229,4058
2000,Arkansas,Searcy,George W. Bush,republican,2610,4058
2000,Arkansas,Searcy,Ralph Nader,green,83,4058
2000,Arkansas,Searcy,Other,NA,136,4058
2000,Arkansas,Sebastian,Al Gore,democrat,15555,40159
2000,Arkansas,Sebastian,George W. Bush,republican,23483,40159
2000,Arkansas,Sebastian,Ralph Nader,green,503,40159
2000,Arkansas,Sebastian,Other,NA,618,40159
2000,Arkansas,Sevier,Al Gore,democrat,2095,4293
2000,Arkansas,Sevier,George W. Bush,republican,2111,4293
2000,Arkansas,Sevier,Ralph Nader,green,55,4293
2000,Arkansas,Sevier,Other,NA,32,4293
2000,Arkansas,Sharp,Al Gore,democrat,3236,7126
2000,Arkansas,Sharp,George W. Bush,republican,3698,7126
2000,Arkansas,Sharp,Ralph Nader,green,115,7126
2000,Arkansas,Sharp,Other,NA,77,7126
2000,Arkansas,Stone,Al Gore,democrat,2043,4860
2000,Arkansas,Stone,George W. Bush,republican,2623,4860
2000,Arkansas,Stone,Ralph Nader,green,98,4860
2000,Arkansas,Stone,Other,NA,96,4860
2000,Arkansas,Union,Al Gore,democrat,6261,15609
2000,Arkansas,Union,George W. Bush,republican,8647,15609
2000,Arkansas,Union,Ralph Nader,green,130,15609
2000,Arkansas,Union,Other,NA,571,15609
2000,Arkansas,Van Buren,Al Gore,democrat,3202,6984
2000,Arkansas,Van Buren,George W. Bush,republican,3485,6984
2000,Arkansas,Van Buren,Ralph Nader,green,153,6984
2000,Arkansas,Van Buren,Other,NA,144,6984
2000,Arkansas,Washington,Al Gore,democrat,21425,51459
2000,Arkansas,Washington,George W. Bush,republican,28231,51459
2000,Arkansas,Washington,Ralph Nader,green,1208,51459
2000,Arkansas,Washington,Other,NA,595,51459
2000,Arkansas,White,Al Gore,democrat,8342,22150
2000,Arkansas,White,George W. Bush,republican,13170,22150
2000,Arkansas,White,Ralph Nader,green,243,22150
2000,Arkansas,White,Other,NA,395,22150
2000,Arkansas,Woodruff,Al Gore,democrat,1699,2651
2000,Arkansas,Woodruff,George W. Bush,republican,898,2651
2000,Arkansas,Woodruff,Ralph Nader,green,19,2651
2000,Arkansas,Woodruff,Other,NA,35,2651
2000,Arkansas,Yell,Al Gore,democrat,3062,6479
2000,Arkansas,Yell,George W. Bush,republican,3223,6479
2000,Arkansas,Yell,Ralph Nader,green,78,6479
2000,Arkansas,Yell,Other,NA,116,6479
2000,California,Alameda,Al Gore,democrat,342889,494336
2000,California,Alameda,George W. Bush,republican,119279,494336
2000,California,Alameda,Ralph Nader,green,27499,494336
2000,California,Alameda,Other,NA,4669,494336
2000,California,Alpine,Al Gore,democrat,265,586
2000,California,Alpine,George W. Bush,republican,281,586
2000,California,Alpine,Ralph Nader,green,25,586
2000,California,Alpine,Other,NA,15,586
2000,California,Amador,Al Gore,democrat,5906,15464
2000,California,Amador,George W. Bush,republican,8766,15464
2000,California,Amador,Ralph Nader,green,584,15464
2000,California,Amador,Other,NA,208,15464
2000,California,Butte,Al Gore,democrat,31338,83721
2000,California,Butte,George W. Bush,republican,45584,83721
2000,California,Butte,Ralph Nader,green,5727,83721
2000,California,Butte,Other,NA,1072,83721
2000,California,Calaveras,Al Gore,democrat,7093,18876
2000,California,Calaveras,George W. Bush,republican,10599,18876
2000,California,Calaveras,Ralph Nader,green,863,18876
2000,California,Calaveras,Other,NA,321,18876
2000,California,Colusa,Al Gore,democrat,1745,5590
2000,California,Colusa,George W. Bush,republican,3629,5590
2000,California,Colusa,Ralph Nader,green,151,5590
2000,California,Colusa,Other,NA,65,5590
2000,California,Contra Costa,Al Gore,democrat,224338,381478
2000,California,Contra Costa,George W. Bush,republican,141373,381478
2000,California,Contra Costa,Ralph Nader,green,13067,381478
2000,California,Contra Costa,Other,NA,2700,381478
2000,California,Del Norte,Al Gore,democrat,3117,8294
2000,California,Del Norte,George W. Bush,republican,4526,8294
2000,California,Del Norte,Ralph Nader,green,485,8294
2000,California,Del Norte,Other,NA,166,8294
2000,California,El Dorado,Al Gore,democrat,26220,72136
2000,California,El Dorado,George W. Bush,republican,42045,72136
2000,California,El Dorado,Ralph Nader,green,3013,72136
2000,California,El Dorado,Other,NA,858,72136
2000,California,Fresno,Al Gore,democrat,95059,220835
2000,California,Fresno,George W. Bush,republican,117342,220835
2000,California,Fresno,Ralph Nader,green,6541,220835
2000,California,Fresno,Other,NA,1893,220835
2000,California,Glenn,Al Gore,democrat,2498,8711
2000,California,Glenn,George W. Bush,republican,5795,8711
2000,California,Glenn,Ralph Nader,green,268,8711
2000,California,Glenn,Other,NA,150,8711
2000,California,Humboldt,Al Gore,democrat,24851,55972
2000,California,Humboldt,George W. Bush,republican,23219,55972
2000,California,Humboldt,Ralph Nader,green,7100,55972
2000,California,Humboldt,Other,NA,802,55972
2000,California,Imperial,Al Gore,democrat,15489,28937
2000,California,Imperial,George W. Bush,republican,12524,28937
2000,California,Imperial,Ralph Nader,green,608,28937
2000,California,Imperial,Other,NA,316,28937
2000,California,Inyo,Al Gore,democrat,2652,7815
2000,California,Inyo,George W. Bush,republican,4713,7815
2000,California,Inyo,Ralph Nader,green,344,7815
2000,California,Inyo,Other,NA,106,7815
2000,California,Kern,Al Gore,democrat,66003,182308
2000,California,Kern,George W. Bush,republican,110663,182308
2000,California,Kern,Ralph Nader,green,3474,182308
2000,California,Kern,Other,NA,2168,182308
2000,California,Kings,Al Gore,democrat,11041,28335
2000,California,Kings,George W. Bush,republican,16377,28335
2000,California,Kings,Ralph Nader,green,567,28335
2000,California,Kings,Other,NA,350,28335
2000,California,Lake,Al Gore,democrat,10717,20919
2000,California,Lake,George W. Bush,republican,8699,20919
2000,California,Lake,Ralph Nader,green,1265,20919
2000,California,Lake,Other,NA,238,20919
2000,California,Lassen,Al Gore,democrat,2982,10586
2000,California,Lassen,George W. Bush,republican,7080,10586
2000,California,Lassen,Ralph Nader,green,339,10586
2000,California,Lassen,Other,NA,185,10586
2000,California,Los Angeles,Al Gore,democrat,1710505,2695154
2000,California,Los Angeles,George W. Bush,republican,871930,2695154
2000,California,Los Angeles,Ralph Nader,green,83731,2695154
2000,California,Los Angeles,Other,NA,28988,2695154
2000,California,Madera,Al Gore,democrat,11650,33395
2000,California,Madera,George W. Bush,republican,20283,33395
2000,California,Madera,Ralph Nader,green,1080,33395
2000,California,Madera,Other,NA,382,33395
2000,California,Marin,Al Gore,democrat,79135,123155
2000,California,Marin,George W. Bush,republican,34872,123155
2000,California,Marin,Ralph Nader,green,8289,123155
2000,California,Marin,Other,NA,859,123155
2000,California,Mariposa,Al Gore,democrat,2816,8074
2000,California,Mariposa,George W. Bush,republican,4727,8074
2000,California,Mariposa,Ralph Nader,green,379,8074
2000,California,Mariposa,Other,NA,152,8074
2000,California,Mendocino,Al Gore,democrat,16634,34410
2000,California,Mendocino,George W. Bush,republican,12272,34410
2000,California,Mendocino,Ralph Nader,green,5051,34410
2000,California,Mendocino,Other,NA,453,34410
2000,California,Merced,Al Gore,democrat,22726,50418
2000,California,Merced,George W. Bush,republican,26102,50418
2000,California,Merced,Ralph Nader,green,1166,50418
2000,California,Merced,Other,NA,424,50418
2000,California,Modoc,Al Gore,democrat,945,4107
2000,California,Modoc,George W. Bush,republican,2969,4107
2000,California,Modoc,Ralph Nader,green,122,4107
2000,California,Modoc,Other,NA,71,4107
2000,California,Mono,Al Gore,democrat,1788,4371
2000,California,Mono,George W. Bush,republican,2296,4371
2000,California,Mono,Ralph Nader,green,230,4371
2000,California,Mono,Other,NA,57,4371
2000,California,Monterey,Al Gore,democrat,67618,117534
2000,California,Monterey,George W. Bush,republican,43761,117534
2000,California,Monterey,Ralph Nader,green,5059,117534
2000,California,Monterey,Other,NA,1096,117534
2000,California,Napa,Al Gore,democrat,28097,51724
2000,California,Napa,George W. Bush,republican,20633,51724
2000,California,Napa,Ralph Nader,green,2471,51724
2000,California,Napa,Other,NA,523,51724
2000,California,Nevada,Al Gore,democrat,17670,47479
2000,California,Nevada,George W. Bush,republican,25998,47479
2000,California,Nevada,Ralph Nader,green,3287,47479
2000,California,Nevada,Other,NA,524,47479
2000,California,Orange,Al Gore,democrat,391819,970905
2000,California,Orange,George W. Bush,republican,541299,970905
2000,California,Orange,Ralph Nader,green,26833,970905
2000,California,Orange,Other,NA,10954,970905
2000,California,Placer,Al Gore,democrat,42449,117799
2000,California,Placer,George W. Bush,republican,69835,117799
2000,California,Placer,Ralph Nader,green,4449,117799
2000,California,Placer,Other,NA,1066,117799
2000,California,Plumas,Al Gore,democrat,3458,10401
2000,California,Plumas,George W. Bush,republican,6343,10401
2000,California,Plumas,Ralph Nader,green,456,10401
2000,California,Plumas,Other,NA,144,10401
2000,California,Riverside,Al Gore,democrat,202576,451127
2000,California,Riverside,George W. Bush,republican,231955,451127
2000,California,Riverside,Ralph Nader,green,11678,451127
2000,California,Riverside,Other,NA,4918,451127
2000,California,Sacramento,Al Gore,democrat,212792,431550
2000,California,Sacramento,George W. Bush,republican,195619,431550
2000,California,Sacramento,Ralph Nader,green,17659,431550
2000,California,Sacramento,Other,NA,5480,431550
2000,California,San Benito,Al Gore,democrat,9131,16831
2000,California,San Benito,George W. Bush,republican,7015,16831
2000,California,San Benito,Ralph Nader,green,535,16831
2000,California,San Benito,Other,NA,150,16831
2000,California,San Bernardino,Al Gore,democrat,214749,454893
2000,California,San Bernardino,George W. Bush,republican,221757,454893
2000,California,San Bernardino,Ralph Nader,green,11775,454893
2000,California,San Bernardino,Other,NA,6612,454893
2000,California,San Diego,Al Gore,democrat,437666,958634
2000,California,San Diego,George W. Bush,republican,475736,958634
2000,California,San Diego,Ralph Nader,green,33979,958634
2000,California,San Diego,Other,NA,11253,958634
2000,California,San Francisco,Al Gore,democrat,241578,319786
2000,California,San Francisco,George W. Bush,republican,51496,319786
2000,California,San Francisco,Ralph Nader,green,24828,319786
2000,California,San Francisco,Other,NA,1884,319786
2000,California,San Joaquin,Al Gore,democrat,79776,167239
2000,California,San Joaquin,George W. Bush,republican,81773,167239
2000,California,San Joaquin,Ralph Nader,green,4195,167239
2000,California,San Joaquin,Other,NA,1495,167239
2000,California,San Luis Obispo,Al Gore,democrat,44526,108886
2000,California,San Luis Obispo,George W. Bush,republican,56859,108886
2000,California,San Luis Obispo,Ralph Nader,green,6523,108886
2000,California,San Luis Obispo,Other,NA,978,108886
2000,California,San Mateo,Al Gore,democrat,166757,259399
2000,California,San Mateo,George W. Bush,republican,80296,259399
2000,California,San Mateo,Ralph Nader,green,10433,259399
2000,California,San Mateo,Other,NA,1913,259399
2000,California,Santa Barbara,Al Gore,democrat,73411,154974
2000,California,Santa Barbara,George W. Bush,republican,71493,154974
2000,California,Santa Barbara,Ralph Nader,green,8664,154974
2000,California,Santa Barbara,Other,NA,1406,154974
2000,California,Santa Clara,Al Gore,democrat,332490,548129
2000,California,Santa Clara,George W. Bush,republican,188750,548129
2000,California,Santa Clara,Ralph Nader,green,19072,548129
2000,California,Santa Clara,Other,NA,7817,548129
2000,California,Santa Cruz,Al Gore,democrat,66618,108350
2000,California,Santa Cruz,George W. Bush,republican,29627,108350
2000,California,Santa Cruz,Ralph Nader,green,10844,108350
2000,California,Santa Cruz,Other,NA,1261,108350
2000,California,Shasta,Al Gore,democrat,20127,66544
2000,California,Shasta,George W. Bush,republican,43278,66544
2000,California,Shasta,Ralph Nader,green,2131,66544
2000,California,Shasta,Other,NA,1008,66544
2000,California,Sierra,Al Gore,democrat,540,1847
2000,California,Sierra,George W. Bush,republican,1172,1847
2000,California,Sierra,Ralph Nader,green,86,1847
2000,California,Sierra,Other,NA,49,1847
2000,California,Siskiyou,Al Gore,democrat,6323,19819
2000,California,Siskiyou,George W. Bush,republican,12198,19819
2000,California,Siskiyou,Ralph Nader,green,872,19819
2000,California,Siskiyou,Other,NA,426,19819
2000,California,Solano,Al Gore,democrat,75116,131735
2000,California,Solano,George W. Bush,republican,51604,131735
2000,California,Solano,Ralph Nader,green,3869,131735
2000,California,Solano,Other,NA,1146,131735
2000,California,Sonoma,Al Gore,democrat,117295,197006
2000,California,Sonoma,George W. Bush,republican,63529,197006
2000,California,Sonoma,Ralph Nader,green,14324,197006
2000,California,Sonoma,Other,NA,1858,197006
2000,California,Stanislaus,Al Gore,democrat,56448,128267
2000,California,Stanislaus,George W. Bush,republican,67188,128267
2000,California,Stanislaus,Ralph Nader,green,3398,128267
2000,California,Stanislaus,Other,NA,1233,128267
2000,California,Sutter,Al Gore,democrat,8416,26564
2000,California,Sutter,George W. Bush,republican,17350,26564
2000,California,Sutter,Ralph Nader,green,594,26564
2000,California,Sutter,Other,NA,204,26564
2000,California,Tehama,Al Gore,democrat,6507,20854
2000,California,Tehama,George W. Bush,republican,13270,20854
2000,California,Tehama,Ralph Nader,green,697,20854
2000,California,Tehama,Other,NA,380,20854
2000,California,Trinity,Al Gore,democrat,1932,5797
2000,California,Trinity,George W. Bush,republican,3340,5797
2000,California,Trinity,Ralph Nader,green,396,5797
2000,California,Trinity,Other,NA,129,5797
2000,California,Tulare,Al Gore,democrat,33006,89818
2000,California,Tulare,George W. Bush,republican,54070,89818
2000,California,Tulare,Ralph Nader,green,1834,89818
2000,California,Tulare,Other,NA,908,89818
2000,California,Tuolumne,Al Gore,democrat,9359,23727
2000,California,Tuolumne,George W. Bush,republican,13172,23727
2000,California,Tuolumne,Ralph Nader,green,949,23727
2000,California,Tuolumne,Other,NA,247,23727
2000,California,Ventura,Al Gore,democrat,133258,282692
2000,California,Ventura,George W. Bush,republican,136173,282692
2000,California,Ventura,Ralph Nader,green,10235,282692
2000,California,Ventura,Other,NA,3026,282692
2000,California,Yolo,Al Gore,democrat,33747,61436
2000,California,Yolo,George W. Bush,republican,23057,61436
2000,California,Yolo,Ralph Nader,green,4107,61436
2000,California,Yolo,Other,NA,525,61436
2000,California,Yuba,Al Gore,democrat,5546,16127
2000,California,Yuba,George W. Bush,republican,9838,16127
2000,California,Yuba,Ralph Nader,green,507,16127
2000,California,Yuba,Other,NA,236,16127
2000,Colorado,Adams,Al Gore,democrat,54132,107852
2000,Colorado,Adams,George W. Bush,republican,47561,107852
2000,Colorado,Adams,Ralph Nader,green,4165,107852
2000,Colorado,Adams,Other,NA,1994,107852
2000,Colorado,Alamosa,Al Gore,democrat,2455,5659
2000,Colorado,Alamosa,George W. Bush,republican,2857,5659
2000,Colorado,Alamosa,Ralph Nader,green,265,5659
2000,Colorado,Alamosa,Other,NA,82,5659
2000,Colorado,Arapahoe,Al Gore,democrat,82614,189942
2000,Colorado,Arapahoe,George W. Bush,republican,97768,189942
2000,Colorado,Arapahoe,Ralph Nader,green,6952,189942
2000,Colorado,Arapahoe,Other,NA,2608,189942
2000,Colorado,Archuleta,Al Gore,democrat,1432,4758
2000,Colorado,Archuleta,George W. Bush,republican,2988,4758
2000,Colorado,Archuleta,Ralph Nader,green,265,4758
2000,Colorado,Archuleta,Other,NA,73,4758
2000,Colorado,Baca,Al Gore,democrat,531,2278
2000,Colorado,Baca,George W. Bush,republican,1663,2278
2000,Colorado,Baca,Ralph Nader,green,47,2278
2000,Colorado,Baca,Other,NA,37,2278
2000,Colorado,Bent,Al Gore,democrat,783,1963
2000,Colorado,Bent,George W. Bush,republican,1096,1963
