year,state,county,candidate,party,votes,total_county_votes
2000,Arizona,Navajo,Other,NA,450,25147
2000,Arizona,Pima,Al Gore,democrat,147688,287640
2000,Arizona,Pima,George W. Bush,republican,124579,287640
2000,Arizona,Pima,Ralph Nader,green,12355,287640
2000,Arizona,Pima,Other,NA,3018,287640
2000,Arizona,Pinal,Al Gore,democrat,19650,41290
2000,Arizona,Pinal,George W. Bush,republican,20122,41290
2000,Arizona,Pinal,Ralph Nader,green,904,41290
2000,Arizona,Pinal,Other,NA,614,41290
2000,Arizona,Santa Cruz,Al Gore,democrat,5233,8893
2000,Arizona,Santa Cruz,George W. Bush,republican,3344,8893
2000,Arizona,Santa Cruz,Ralph Nader,green,217,8893
2000,Arizona,Santa Cruz,Other,NA,99,8893
2000,Arizona,Yavapai,Al Gore,democrat,24063,68228
2000,Arizona,Yavapai,George W. Bush,republican,40144,68228
2000,Arizona,Yavapai,Ralph Nader,green,2733,68228
2000,Arizona,Yavapai,Other,NA,1288,68228
2000,Arizona,Yuma,Al Gore,democrat,12055,28652
2000,Arizona,Yuma,George W. Bush,republican,15708,28652
2000,Arizona,Yuma,Ralph Nader,green,495,28652
2000,Arizona,Yuma,Other,NA,394,28652
2000,Arkansas,Arkansas,Al Gore,democrat,2877,6372
2000,Arkansas,Arkansas,George W. Bush,republican,3353,6372
2000,Arkansas,Arkansas,Ralph Nader,green,65,6372
2000,Arkansas,Arkansas,Other,NA,77,6372
2000,Arkansas,Ashley,Al Gore,democrat,4253,8271
2000,Arkansas,Ashley,George W. Bush,republican,3876,8271
2000,Arkansas,Ashley,Ralph Nader,green,61,8271
2000,Arkansas,Ashley,Other,NA,81,8271
2000,Arkansas,Baxter,Al Gore,democrat,6516,16708
2000,Arkansas,Baxter,George W. Bush,republican,9538,16708
2000,Arkansas,Baxter,Ralph Nader,green,429,16708
2000,Arkansas,Baxter,Other,NA,225,16708
2000,Arkansas,Benton,Al Gore,democrat,17277,53646
2000,Arkansas,Benton,George W. Bush,republican,34838,53646
2000,Arkansas,Benton,Ralph Nader,green,862,53646
2000,Arkansas,Benton,Other,NA,669,53646
2000,Arkansas,Boone,Al Gore,democrat,4493,13635
2000,Arkansas,Boone,George W. Bush,republican,8569,13635
2000,Arkansas,Boone,Ralph Nader,green,289,13635
2000,Arkansas,Boone,Other,NA,284,13635
2000,Arkansas,Bradley,Al Gore,democrat,2122,3979
2000,Arkansas,Bradley,George W. Bush,republican,1793,3979
2000,Arkansas,Bradley,Ralph Nader,green,34,3979
2000,Arkansas,Bradley,Other,NA,30,3979
2000,Arkansas,Calhoun,Al Gore,democrat,1017,2185
2000,Arkansas,Calhoun,George W. Bush,republican,1128,2185
2000,Arkansas,Calhoun,Ralph Nader,green,19,2185
2000,Arkansas,Calhoun,Other,NA,21,2185
2000,Arkansas,Carroll,Al Gore,democrat,3595,9590
2000,Arkansas,Carroll,George W. Bush,republican,5556,9590
2000,Arkansas,Carroll,Ralph Nader,green,301,9590
2000,Arkansas,Carroll,Other,NA,138,9590
2000,Arkansas,Chicot,Al Gore,democrat,2820,4452
2000,Arkansas,Chicot,George W. Bush,republican,1564,4452
2000,Arkansas,Chicot,Ralph Nader,green,26,4452
2000,Arkansas,Chicot,Other,NA,42,4452
2000,Arkansas,Clark,Al Gore,democrat,4661,8626
2000,Arkansas,Clark,George W. Bush,republican,3776,8626
2000,Arkansas,Clark,Ralph Nader,green,103,8626
2000,Arkansas,Clark,Other,NA,86,8626
2000,Arkansas,Clay,Al Gore,democrat,3527,5900
2000,Arkansas,Clay,George W. Bush,republican,2254,5900
2000,Arkansas,Clay,Ralph Nader,green,73,5900
2000,Arkansas,Clay,Other,NA,46,5900
2000,Arkansas,Cleburne,Al Gore,democrat,4120,10207
2000,Arkansas,Cleburne,George W. Bush,republican,5730,10207
2000,Arkansas,Cleburne,Ralph Nader,green,183,10207
2000,Arkansas,Cleburne,Other,NA,174,10207
2000,Arkansas,Cleveland,Al Gore,democrat,1414,3181
2000,Arkansas,Cleveland,George W. Bush,republican,1678,3181
2000,Arkansas,Cleveland,Ralph Nader,green,30,3181
2000,Arkansas,Cleveland,Other,NA,59,3181
2000,Arkansas,Columbia,Al Gore,democrat,4003,9307
2000,Arkansas,Columbia,George W. Bush,republican,5018,9307
2000,Arkansas,Columbia,Ralph Nader,green,70,9307
2000,Arkansas,Columbia,Other,NA,216,9307
2000,Arkansas,Conway,Al Gore,democrat,3496,7234
2000,Arkansas,Conway,George W. Bush,republican,3545,7234
2000,Arkansas,Conway,Ralph Nader,green,84,7234
2000,Arkansas,Conway,Other,NA,109,7234
2000,Arkansas,Craighead,Al Gore,democrat,12376,25157
2000,Arkansas,Craighead,George W. Bush,republican,12158,25157
2000,Arkansas,Craighead,Ralph Nader,green,409,25157
2000,Arkansas,Craighead,Other,NA,214,25157
2000,Arkansas,Crawford,Al Gore,democrat,6288,17625
2000,Arkansas,Crawford,George W. Bush,republican,10804,17625
2000,Arkansas,Crawford,Ralph Nader,green,223,17625
2000,Arkansas,Crawford,Other,NA,310,17625
2000,Arkansas,Crittenden,Al Gore,democrat,7224,13234
2000,Arkansas,Crittenden,George W. Bush,republican,5857,13234
